회사명,종목코드,업종,상장일,시장구분,yf_ticker
삼양엔씨켐,482630,기타 화학제품 제조업,2025-02-03,코스닥,482630.KQ
삼현철강,017480,1차 철강 제조업,2001-01-09,코스닥,017480.KQ
상신이디피,091580,일차전지 및 이차전지 제조업,2007-05-23,코스닥,091580.KQ
서린바이오,038070,기타 전문 도매업,2005-10-25,코스닥,038070.KQ
서울바이오시스,092190,반도체 제조업,2020-03-06,코스닥,092190.KQ
서울평가정보,036120,기타 정보 서비스업,1999-12-07,코스닥,036120.KQ
서전기전,189860,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2014-12-24,코스닥,189860.KQ
서플러스글로벌,140070,기계장비 및 관련 물품 도매업,2017-01-25,코스닥,140070.KQ
선광,003100,기타 운송관련 서비스업,1999-12-21,코스닥,003100.KQ
선익시스템,171090,특수 목적용 기계 제조업,2017-09-20,코스닥,171090.KQ
세림B&G,340440,플라스틱제품 제조업,2019-12-27,코스닥,340440.KQ
세보엠이씨,011560,건물설비 설치 공사업,1996-12-23,코스닥,011560.KQ
세아메카닉스,396300,기타 금속 가공제품 제조업,2022-03-24,코스닥,396300.KQ
센코,347000,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2020-10-29,코스닥,347000.KQ
셀레믹스,331920,기초 의약물질 제조업,2020-08-21,코스닥,331920.KQ
셀루메드,049180,기초 의약물질 제조업,2002-05-23,코스닥,049180.KQ
셀바스AI,108860,소프트웨어 개발 및 공급업,2009-12-10,코스닥,108860.KQ
셀바이오휴먼텍,318160,기타 섬유제품 제조업,2023-04-20,코스닥,318160.KQ
소룩스,290690,전구 및 조명장치 제조업,2020-11-06,코스닥,290690.KQ
수산아이앤티,050960,소프트웨어 개발 및 공급업,2016-10-11,코스닥,050960.KQ
슈피겐코리아,192440,그외 기타 제품 제조업,2014-11-05,코스닥,192440.KQ
스킨앤스킨,159910,기타 화학제품 제조업,2012-12-27,코스닥,159910.KQ
스타코링크,060240,선박 및 보트 건조업,2002-01-04,코스닥,060240.KQ
스톤브릿지벤처스,330730,기타 금융업,2022-02-25,코스닥,330730.KQ
스튜디오산타클로스,204630,창작 및 예술관련 서비스업,2014-12-29,코스닥,204630.KQ
시너지이노베이션,048870,의료용 기기 제조업,2004-08-13,코스닥,048870.KQ
시지메드텍,056090,의료용 기기 제조업,2015-11-12,코스닥,056090.KQ
신신제약,002800,의약품 제조업,2017-02-28,코스닥,002800.KQ
신한제14호스팩,487360,금융 지원 서비스업,2024-12-23,코스닥,487360.KQ
신흥에스이씨,243840,일차전지 및 이차전지 제조업,2017-09-27,코스닥,243840.KQ
쎄트렉아이,099320,"항공기,우주선 및 부품 제조업",2008-06-13,코스닥,099320.KQ
쎌바이오텍,049960,기초 의약물질 제조업,2002-12-13,코스닥,049960.KQ
씨싸이트,109670,봉제의복 제조업,2023-12-21,코스닥,109670.KQ
씨젠,096530,의료용품 및 기타 의약 관련제품 제조업,2010-09-10,코스닥,096530.KQ
씨티케이,260930,기타 화학제품 제조업,2017-12-07,코스닥,260930.KQ
아모센스,357580,전자부품 제조업,2021-06-25,코스닥,357580.KQ
아미노로직스,074430,기초 의약물질 제조업,2004-06-04,코스닥,074430.KQ
아비코전자,036010,전자부품 제조업,2002-07-03,코스닥,036010.KQ
아이디피,332370,컴퓨터 및 주변장치 제조업,2020-08-24,코스닥,332370.KQ
아이빔테크놀로지,460470,사진장비 및 광학기기 제조업,2024-08-06,코스닥,460470.KQ
아이엘,307180,전구 및 조명장치 제조업,2018-12-21,코스닥,307180.KQ
아이엠비디엑스,461030,자연과학 및 공학 연구개발업,2024-04-03,코스닥,461030.KQ
알파녹스,043100,의료용 기기 제조업,2000-08-08,코스닥,043100.KQ
애머릿지,900100,자동차 부품 및 내장품 판매업,2010-04-21,코스닥,900100.KQ
앤디포스,238090,플라스틱제품 제조업,2016-10-12,코스닥,238090.KQ
에스디시스템,121890,전자부품 제조업,2010-07-16,코스닥,121890.KQ
에스앤디,260970,기타 식품 제조업,2021-09-29,코스닥,260970.KQ
에스에스알,275630,소프트웨어 개발 및 공급업,2018-08-06,코스닥,275630.KQ
에스와이,109610,"구조용 금속제품, 탱크 및 증기발생기 제조업",2015-12-29,코스닥,109610.KQ
에스코넥,096630,통신 및 방송 장비 제조업,2007-12-26,코스닥,096630.KQ
에어레인,163280,일반 목적용 기계 제조업,2024-11-08,코스닥,163280.KQ
에이디칩스,054630,그외 기타 제품 제조업,2001-11-13,코스닥,054630.KQ
에이에스텍,453860,기타 화학제품 제조업,2023-11-28,코스닥,453860.KQ
에이치시티,072990,기타 과학기술 서비스업,2016-10-17,코스닥,072990.KQ
에이치엠씨제7호스팩,477340,금융 지원 서비스업,2024-06-24,코스닥,477340.KQ
에이텍,045660,컴퓨터 및 주변장치 제조업,2001-05-24,코스닥,045660.KQ
에이프로,262260,기타 전기장비 제조업,2020-07-16,코스닥,262260.KQ
에이프릴바이오,397030,자연과학 및 공학 연구개발업,2022-07-28,코스닥,397030.KQ
에프엔에스테크,083500,특수 목적용 기계 제조업,2017-02-27,코스닥,083500.KQ
엔에이치스팩31호,481890,금융 지원 서비스업,2024-07-26,코스닥,481890.KQ
엘앤씨바이오,290650,의약품 제조업,2018-11-01,코스닥,290650.KQ
엠디바이스,226590,전자부품 제조업,2025-03-07,코스닥,226590.KQ
엠브레인,169330,시장조사 및 여론조사업,2020-07-01,코스닥,169330.KQ
엠아이큐브솔루션,373170,소프트웨어 개발 및 공급업,2023-08-04,코스닥,373170.KQ
엠케이전자,033160,전자부품 제조업,1997-11-10,코스닥,033160.KQ
오공,045060,기타 화학제품 제조업,2000-08-10,코스닥,045060.KQ
와이씨켐,112290,기타 화학제품 제조업,2022-07-14,코스닥,112290.KQ
와이어블,065530,전기 통신업,2002-06-04,코스닥,065530.KQ
와이엔텍,067900,폐기물 처리업,2005-12-23,코스닥,067900.KQ
와이제이링크,209640,특수 목적용 기계 제조업,2024-10-18,코스닥,209640.KQ
와이즈버즈,273060,광고업,2017-08-07,코스닥,273060.KQ
와이지엔터테인먼트,122870,오디오물 출판 및 원판 녹음업,2011-11-23,코스닥,122870.KQ
우리바이오,082850,기타 식품 제조업,2005-07-29,코스닥,082850.KQ
우양에이치씨,101970,"구조용 금속제품, 탱크 및 증기발생기 제조업",2025-03-28,코스닥,101970.KQ
우진엔텍,457550,"그외 기타 전문, 과학 및 기술 서비스업",2024-01-24,코스닥,457550.KQ
원익IPS,240810,특수 목적용 기계 제조업,2016-05-02,코스닥,240810.KQ
원일특강,012620,1차 철강 제조업,1994-06-28,코스닥,012620.KQ
원준,382840,특수 목적용 기계 제조업,2021-10-07,코스닥,382840.KQ
원텍,336570,의료용 기기 제조업,2019-12-19,코스닥,336570.KQ
웨이버스,336060,소프트웨어 개발 및 공급업,2019-11-28,코스닥,336060.KQ
위니아에이드,377460,개인 및 가정용품 수리업,2022-06-23,코스닥,377460.KQ
위닉스,044340,가정용 기기 제조업,2000-10-24,코스닥,044340.KQ
유아이디,069330,전자부품 제조업,2003-08-18,코스닥,069330.KQ
유아이엘,049520,전자부품 제조업,2001-08-02,코스닥,049520.KQ
유안타제16호스팩,474490,금융 지원 서비스업,2024-05-02,코스닥,474490.KQ
유진스팩11호,488060,금융 지원 서비스업,2024-10-31,코스닥,488060.KQ
이노룰스,296640,소프트웨어 개발 및 공급업,2022-10-07,코스닥,296640.KQ
이랜텍,054210,전자부품 제조업,2002-05-09,코스닥,054210.KQ
이렘,009730,1차 철강 제조업,1990-07-27,코스닥,009730.KQ
이브이첨단소재,131400,전자부품 제조업,2010-12-27,코스닥,131400.KQ
이스트아시아홀딩스,900110,기타 금융업,2010-04-23,코스닥,900110.KQ
이엔셀,456070,기초 의약물질 제조업,2024-08-23,코스닥,456070.KQ
이지트로닉스,377330,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2022-02-04,코스닥,377330.KQ
이크레더블,092130,기타 정보 서비스업,2008-10-24,코스닥,092130.KQ
이트론,096040,기타 전문 도매업,2008-01-25,코스닥,096040.KQ
인성정보,033230,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1999-07-30,코스닥,033230.KQ
인터엠,017250,영상 및 음향기기 제조업,1996-01-03,코스닥,017250.KQ
일승,333430,선박 및 보트 건조업,2019-11-06,코스닥,333430.KQ
잉크테크,049550,기타 화학제품 제조업,2002-02-28,코스닥,049550.KQ
정다운,208140,"도축, 육류 가공 및 저장 처리업",2014-12-17,코스닥,208140.KQ
정상제이엘에스,040420,일반 교습 학원,2000-08-01,코스닥,040420.KQ
제우스,079370,특수 목적용 기계 제조업,2006-02-01,코스닥,079370.KQ
제일일렉트릭,199820,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2020-11-26,코스닥,199820.KQ
젝시믹스,337930,기타 정보 서비스업,2020-08-13,코스닥,337930.KQ
젬백스,082270,특수 목적용 기계 제조업,2005-06-24,코스닥,082270.KQ
조이시티,067000,소프트웨어 개발 및 공급업,2008-05-30,코스닥,067000.KQ
주성엔지니어링,036930,특수 목적용 기계 제조업,1999-12-24,코스닥,036930.KQ
중앙에너비스,000440,기타 전문 도매업,1993-03-24,코스닥,000440.KQ
지어소프트,051160,소프트웨어 개발 및 공급업,2002-05-28,코스닥,051160.KQ
지에스이,053050,연료용 가스 제조 및 배관공급업,2001-10-11,코스닥,053050.KQ
지엘팜텍,204840,생활용품 도매업,2014-11-20,코스닥,204840.KQ
진양제약,007370,의약품 제조업,2000-07-27,코스닥,007370.KQ
창해에탄올,004650,알코올음료 제조업,2014-07-30,코스닥,004650.KQ
카페24,042000,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2018-02-08,코스닥,042000.KQ
캐리소프트,317530,"영화, 비디오물, 방송프로그램 제작 및 배급업",2019-10-29,코스닥,317530.KQ
캡스톤파트너스,452300,기타 금융업,2023-11-15,코스닥,452300.KQ
컴투스홀딩스,063080,소프트웨어 개발 및 공급업,2009-07-30,코스닥,063080.KQ
케이엘넷,039420,전기 통신업,2002-03-12,코스닥,039420.KQ
케이프,064820,선박 및 보트 건조업,2007-05-29,코스닥,064820.KQ
케이피에프,024880,기타 금속 가공제품 제조업,1994-12-29,코스닥,024880.KQ
케일럼,258610,"구조용 금속제품, 탱크 및 증기발생기 제조업",2017-08-22,코스닥,258610.KQ
코닉오토메이션,391710,특수 목적용 기계 제조업,2021-10-15,코스닥,391710.KQ
코리아나,027050,기타 화학제품 제조업,1999-12-10,코스닥,027050.KQ
코미코,183300,특수 목적용 기계 제조업,2017-03-23,코스닥,183300.KQ
코세스,089890,특수 목적용 기계 제조업,2006-11-08,코스닥,089890.KQ
코칩,126730,전자부품 제조업,2024-05-07,코스닥,126730.KQ
코텍,052330,영상 및 음향기기 제조업,2001-07-10,코스닥,052330.KQ
퀄리타스반도체,432720,반도체 제조업,2023-10-27,코스닥,432720.KQ
큐렉소,060280,기타 상품 전문 소매업,2002-07-03,코스닥,060280.KQ
큐브엔터,182360,오디오물 출판 및 원판 녹음업,2013-11-21,코스닥,182360.KQ
크리스탈신소재,900250,기타 금융업,2016-01-28,코스닥,900250.KQ
키움제10호스팩,487720,금융 지원 서비스업,2024-12-20,코스닥,487720.KQ
키움제8호스팩,446840,금융 지원 서비스업,2023-05-17,코스닥,446840.KQ
킵스파마,256940,특수 목적용 기계 제조업,2017-09-06,코스닥,256940.KQ
탑엔지니어링,065130,특수 목적용 기계 제조업,2003-01-29,코스닥,065130.KQ
탑코미디어,134580,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2013-11-26,코스닥,134580.KQ
테고사이언스,191420,기초 의약물질 제조업,2014-11-06,코스닥,191420.KQ
토비스,051360,영상 및 음향기기 제조업,2004-11-19,코스닥,051360.KQ
투비소프트,079970,소프트웨어 개발 및 공급업,2010-06-01,코스닥,079970.KQ
티이엠씨씨엔에스,241790,특수 목적용 기계 제조업,2016-12-01,코스닥,241790.KQ
파라텍,033540,특수 목적용 기계 제조업,1997-12-26,코스닥,033540.KQ
파버나인,177830,전자부품 제조업,2014-08-04,코스닥,177830.KQ
파워로직스,047310,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2003-07-25,코스닥,047310.KQ
파커스,065690,고무제품 제조업,2002-07-16,코스닥,065690.KQ
